seed,hw,area,graph,method,makespan
1,0.1,0.9,resnet,gl25,9782.735802246172
1,0.1,0.9,resnet,greedy,9096.711265559024
1,0.1,0.9,resnet,jade,18102.04304546023
1,0.1,0.9,resnet,random,18102.04304546023
1,0.1,0.9,resnet,shade,18102.04304546023
1,0.1,0.9,squeezenet,ccpso,8769.553212251989
1,0.1,0.9,squeezenet,clpso,8769.553212251989
1,0.1,0.9,squeezenet,esa,8769.553212251989
1,0.1,0.9,squeezenet,gl25,2340.4247638396605
1,0.1,0.9,squeezenet,greedy,6685.951619583369
1,0.1,0.9,squeezenet,jade,7271.115182170598
1,0.1,0.9,squeezenet,random,8769.553212251989
1,0.1,0.9,squeezenet,shade,8769.553212251989
1,0.3,0.1,resnet,ccpso,18102.04304546023
1,0.3,0.1,resnet,clpso,18102.04304546023
1,0.3,0.1,resnet,esa,18102.04304546023
1,0.3,0.1,resnet,gl25,18102.04304546023
1,0.3,0.1,resnet,greedy,19090.834549803047
1,0.3,0.1,resnet,jade,18102.04304546023
1,0.3,0.1,resnet,random,18102.04304546023
1,0.3,0.1,resnet,shade,18102.04304546023
1,0.3,0.1,squeezenet,ccpso,8769.553212251989
1,0.3,0.1,squeezenet,clpso,8769.553212251989
1,0.3,0.1,squeezenet,esa,8769.553212251989
1,0.3,0.1,squeezenet,gl25,8769.553212251989
1,0.3,0.1,squeezenet,greedy,9477.48301256312
1,0.3,0.1,squeezenet,jade,8769.553212251989
1,0.3,0.1,squeezenet,random,8769.553212251989
1,0.3,0.1,squeezenet,shade,8769.553212251989
1,0.3,0.3,resnet,ccpso,18102.04304546023
1,0.3,0.3,resnet,clpso,18102.04304546023
1,0.3,0.3,resnet,esa,18102.04304546023
1,0.3,0.3,resnet,gl25,18102.04304546023
1,0.3,0.3,resnet,greedy,23285.663394677253
1,0.3,0.3,resnet,jade,18102.04304546023
1,0.3,0.3,resnet,random,18102.04304546023
1,0.3,0.3,resnet,shade,18102.04304546023
1,0.3,0.3,squeezenet,ccpso,8769.553212251989
1,0.3,0.3,squeezenet,clpso,8769.553212251989
1,0.3,0.3,squeezenet,esa,8769.553212251989
1,0.3,0.3,squeezenet,gl25,8769.553212251989
1,0.3,0.3,squeezenet,greedy,12728.943388545222
1,0.3,0.3,squeezenet,jade,8769.553212251989
1,0.3,0.3,squeezenet,random,8769.553212251989
1,0.3,0.3,squeezenet,shade,8769.553212251989
1,0.3,0.5,resnet,ccpso,18102.04304546023
1,0.3,0.5,resnet,clpso,18102.04304546023
1,0.3,0.5,resnet,esa,18102.04304546023
1,0.3,0.5,resnet,gl25,18102.04304546023
1,0.3,0.5,resnet,greedy,25397.484105097887
1,0.3,0.5,resnet,jade,18102.04304546023
1,0.3,0.5,resnet,random,18102.04304546023
1,0.3,0.5,resnet,shade,18102.04304546023
1,0.3,0.5,squeezenet,ccpso,8769.553212251989
1,0.3,0.5,squeezenet,clpso,8769.553212251989
1,0.3,0.5,squeezenet,esa,8173.809007938313
